name,contributor_zip,total_raised
CAL FOR NC (US SENATE),02030,2800
CAL FOR NC (US SENATE),02108,3800
CAL FOR NC (US SENATE),02138,1000
CAL FOR NC (US SENATE),02144,815639.5
CAL FOR NC (US SENATE),02210,5600
CAL FOR NC (US SENATE),02465,11200
CAL FOR NC (US SENATE),02478,322
CAL FOR NC (US SENATE),02492,1000
CAL FOR NC (US SENATE),02857,500
CAL FOR NC (US SENATE),04110,500
CAL FOR NC (US SENATE),04330,500
CAL FOR NC (US SENATE),05152,500
CAL FOR NC (US SENATE),06605,250
CAL FOR NC (US SENATE),08540,250
CAL FOR NC (US SENATE),10003,1500
CAL FOR NC (US SENATE),10010,2800
CAL FOR NC (US SENATE),10011,16800
CAL FOR NC (US SENATE),10013,5600
CAL FOR NC (US SENATE),10017,8400
CAL FOR NC (US SENATE),10018,5600
CAL FOR NC (US SENATE),10019,11200
CAL FOR NC (US SENATE),10020,2800
CAL FOR NC (US SENATE),10021,22400
CAL FOR NC (US SENATE),10022,20600
CAL FOR NC (US SENATE),10023,12650
CAL FOR NC (US SENATE),10025,5600
CAL FOR NC (US SENATE),10028,12200
CAL FOR NC (US SENATE),10036,5600
CAL FOR NC (US SENATE),10065,15000
CAL FOR NC (US SENATE),10075,8400
CAL FOR NC (US SENATE),10128,7600
CAL FOR NC (US SENATE),10165,5600
CAL FOR NC (US SENATE),10522,2800
CAL FOR NC (US SENATE),10549,11522
CAL FOR NC (US SENATE),10580,500
CAL FOR NC (US SENATE),10601,11200
CAL FOR NC (US SENATE),11201,5500
CAL FOR NC (US SENATE),11216,222
CAL FOR NC (US SENATE),11217,1500
CAL FOR NC (US SENATE),11234,2500
CAL FOR NC (US SENATE),11568,11200
CAL FOR NC (US SENATE),11733,2800
CAL FOR NC (US SENATE),12303,250
CAL FOR NC (US SENATE),12601,5600
CAL FOR NC (US SENATE),20001,19000
CAL FOR NC (US SENATE),20002,3550
CAL FOR NC (US SENATE),20003,3300
CAL FOR NC (US SENATE),20005,1000
CAL FOR NC (US SENATE),20006,500
CAL FOR NC (US SENATE),20007,3000
CAL FOR NC (US SENATE),20008,14800
CAL FOR NC (US SENATE),20009,3900
CAL FOR NC (US SENATE),20015,1000
CAL FOR NC (US SENATE),20016,2500
CAL FOR NC (US SENATE),20020,500
CAL FOR NC (US SENATE),20024,250
CAL FOR NC (US SENATE),20036,500
CAL FOR NC (US SENATE),20190,1000
CAL FOR NC (US SENATE),20814,500
CAL FOR NC (US SENATE),20815,24400
CAL FOR NC (US SENATE),20816,2000
CAL FOR NC (US SENATE),20817,3500
CAL FOR NC (US SENATE),20904,500
