zip,county,res_ratio,bus_ratio,oth_ratio,tot_ratio
00501,36103,0.000000000,1.000000000,0.000000000,1.000000000
00601,72113,0.187467180,0.203931204,0.122807018,0.186774758
00601,72001,0.812532820,0.796068796,0.877192982,0.813225242
00602,72005,0.000000000,0.001207729,0.000000000,0.000080815
00602,72003,1.000000000,0.998792271,1.000000000,0.999919185
00603,72005,0.999720374,1.000000000,1.000000000,0.999743892
00603,72071,0.000279626,0.000000000,0.000000000,0.000256108
00604,72005,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,1.000000000,1.000000000,1.000000000,1.000000000
00612,72054,0.002808503,0.000405680,0.000000000,0.002513711
00612,72065,0.000216039,0.000000000,0.000000000,0.000190433
00612,72013,0.996024888,0.999188641,0.996908810,0.996343693
00612,72141,0.000950570,0.000405680,0.003091190,0.000952163
00613,72013,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,1.000000000,1.000000000,1.000000000,1.000000000
00617,72017,0.969247973,0.998427673,1.000000000,0.971159711
00617,72054,0.030752027,0.001572327,0.000000000,0.028840289
00622,72023,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,0.999156337,1.000000000,1.000000000,0.999213646
00623,72097,0.000843663,0.000000000,0.000000000,0.000786354
00624,72059,0.000000000,0.020565553,0.000000000,0.001016648
00624,72111,0.998925453,0.979434447,1.000000000,0.997966705
00624,72113,0.001074547,0.000000000,0.000000000,0.001016648
00627,72027,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,1.000000000,1.000000000,1.000000000,1.000000000
00638,72107,0.000631912,0.009771987,0.000000000,0.001046651
00638,72039,0.999368088,0.990228013,1.000000000,0.998953349
00641,72141,0.971874677,0.995447648,0.701863354,0.969211705
00641,72113,0.028125323,0.004552352,0.298136646,0.030788295
00646,72051,0.989499691,0.992569002,1.000000000,0.989775051
00646,72137,0.001029442,0.005307856,0.000000000,0.001278119
00646,72135,0.009470867,0.002123142,0.000000000,0.008946830
00647,72121,0.002589183,0.000000000,0.000000000,0.002505568
00647,72055,0.997410817,1.000000000,1.000000000,0.997494432
00650,72054,0.854194033,0.993670886,0.840000000,0.858127721
00650,72017,0.004691312,0.000000000,0.000000000,0.004535559
00650,72013,0.136048039,0.006329114,0.160000000,0.132438316
00650,72091,0.005066617,0.000000000,0.000000000,0.004898403
00652,72013,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,0.995106311,1.000000000,1.000000000,0.995397556
00653,72153,0.004893689,0.000000000,0.000000000,0.004602444
00656,72059,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,0.999296641,1.000000000,1.000000000,0.999347791
00659,72013,0.000703359,0.000000000,0.000000000,0.000652209
