AZ, Kelly ,McSally
TUCSON," $682,772.29 "," $410,293.83 "
PHOENIX," $370,503.25 "," $171,108.03 "
SCOTTSDALE," $208,133.57 "," $222,495.40 "
PARADISE VALLEY," $121,416.50 "," $115,161.81 "
TEMPE," $93,487.06 "," $12,423.70 "
ORO VALLEY," $39,305.00 "," $6,685.00 "
PRESCOTT," $38,592.00 ",
GREEN VALLEY," $33,386.21 ",
CHANDLER," $30,716.42 ",
SEDONA," $23,931.00 ",
FLAGSTAFF," $17,918.50 ",
MESA," $17,915.18 ",
GILBERT," $17,691.03 ",
BISBEE," $16,732.30 ",
COTTONWOOD," $16,562.22 ",
GLENDALE," $14,818.50 ",
YUMA," $12,197.50 ",
VAIL," $11,260.00 ",
PEORIA," $10,650.01 ",
SUN CITY," $9,937.00 ",
CAVE CREEK," $8,534.80 ",
SIERRA VISTA," $8,382.50 ",
FOUNTAIN HILLS," $7,395.00 ",
SUN LAKES," $6,974.66 ",
SURPRISE," $6,363.00 ",
QUEEN CREEK," $4,925.00 ",
SUN CITY WEST," $4,793.00 ",
GOODYEAR," $4,573.50 ",
ANTHEM," $4,260.00 ",
PRESCOTT VALLEY," $3,360.00 ",
CORTARO," $3,263.00 ",
KINGMAN," $2,700.00 ",
SAHUARITA," $2,690.00 ",
GOLD CANYON," $2,355.00 ",
DEWEY," $2,250.00 ",
MARANA," $2,208.50 ",
SAN TAN VALLEY," $2,068.00 ",
PARKS," $2,000.00 ",
LAKE HAVASU CITY," $1,926.71 ",
MARICOPA," $1,880.00 ",
SONOITA," $1,860.00 ",
PAYSON," $1,810.50 ",
CASA GRANDE," $1,756.00 ",
CORNVILLE," $1,750.00 ",
TUBAC," $1,725.00 ",
ORACLE," $1,518.00 ",
CLARKDALE," $1,510.00 ",
FLORENCE," $1,435.00 ",
LITCHFIELD PARK," $1,257.00 ",
CAREFREE," $1,208.13 ",
PORTAL," $1,100.00 ",
LAVEEN," $1,098.00 ",
BUCKEYE," $1,085.00 ",
RIO VERDE," $1,025.00 ",
PARADISE VLY," $1,000.00 ",
SAN CARLOS," $1,000.00 ",
YARNELL," $1,000.00 ",
RIO RICO, $885.00 ,
BULLHEAD CITY, $800.00 ,
DOUGLAS, $800.00 ,
GLOBE, $750.00 ,
TOLLESON, $750.00 ,
CHINO VALLEY, $740.00 ,
HEREFORD, $688.00 ,
FORT MOHAVE, $600.00 ,
WILLCOX, $600.00 ,
GOLDEN VALLEY, $500.00 ,
LAKESIDE, $450.00 ,
PINETOP, $425.00 ,
TUMACACORI, $405.00 ,
SELIGMAN, $400.00 ,
SADDLEBROOKE, $395.00 ,
SHOW LOW, $390.00 ,
WILLIAMS, $385.00 ,
BENSON, $354.82 ,
AVONDALE, $350.00 ,
NOGALES, $350.00 ,
HUACHUCA CITY, $335.00 ,
ELOY, $291.00 ,
SAN SIMON, $255.00 ,
SAFFORD, $254.00 ,
AJO, $250.00 ,
APACHE JCT, $250.00 ,
APACHE JUNCTION, $250.00 ,
BLUE, $250.00 ,
HOLBROOK, $250.00 ,
WICKENBURG, $230.00 ,
LUKEVILLE, $200.00 ,
MC NEAL, $200.00 ,
EL MIRAGE, $150.00 ,
TSAILE, $140.00 ,
ARIVACA, $115.00 ,
AGUILA, $100.00 ,
ARIZONA CITY, $100.00 ,
MORRISTOWN, $100.00 ,
NEW RIVER, $100.00 ,
PATAGONIA, $100.00 ,
CONGRESS, $50.00 ,
ELGIN, $50.00 ,
FORT DEFIANCE, $50.00 ,
STAR VALLEY, $50.00 ,
WINSLOW, $50.00 ,
CORONA DE TUCSON, $30.50 ,
