ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,zip_join_type
85001,Phoenix,AZ,Post Office or large volume customer,85004,Spatial join to ZCTA
85002,Phoenix,AZ,Post Office or large volume customer,85004,Spatial join to ZCTA
85003,Phoenix,AZ,Zip Code Area,85003,Zip Matches ZCTA
85004,Phoenix,AZ,Zip Code Area,85004,Zip Matches ZCTA
85005,Phoenix,AZ,Post Office or large volume customer,85009,Spatial join to ZCTA
85006,Phoenix,AZ,Zip Code Area,85006,Zip Matches ZCTA
85007,Phoenix,AZ,Zip Code Area,85007,Zip Matches ZCTA
85008,Phoenix,AZ,Zip Code Area,85008,Zip Matches ZCTA
85009,Phoenix,AZ,Zip Code Area,85009,Zip Matches ZCTA
85010,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85011,Phoenix,AZ,Post Office or large volume customer,85013,Spatial join to ZCTA
85012,Phoenix,AZ,Zip Code Area,85012,Zip Matches ZCTA
85013,Phoenix,AZ,Zip Code Area,85013,Zip Matches ZCTA
85014,Phoenix,AZ,Zip Code Area,85014,Zip Matches ZCTA
85015,Phoenix,AZ,Zip Code Area,85015,Zip Matches ZCTA
85016,Phoenix,AZ,Zip Code Area,85016,Zip Matches ZCTA
85017,Phoenix,AZ,Zip Code Area,85017,Zip Matches ZCTA
85018,Phoenix,AZ,Zip Code Area,85018,Zip Matches ZCTA
85019,Phoenix,AZ,Zip Code Area,85019,Zip Matches ZCTA
85020,Phoenix,AZ,Zip Code Area,85020,Zip Matches ZCTA
85021,Phoenix,AZ,Zip Code Area,85021,Zip Matches ZCTA
85022,Phoenix,AZ,Zip Code Area,85022,Zip Matches ZCTA
85023,Phoenix,AZ,Zip Code Area,85023,Zip Matches ZCTA
85024,Phoenix,AZ,Zip Code Area,85024,Zip Matches ZCTA
85026,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85027,Phoenix,AZ,Zip Code Area,85027,Zip Matches ZCTA
85028,Phoenix,AZ,Zip Code Area,85028,Zip Matches ZCTA
85029,Phoenix,AZ,Zip Code Area,85029,Zip Matches ZCTA
85030,Phoenix,AZ,Post Office or large volume customer,85004,Spatial join to ZCTA
85031,Phoenix,AZ,Zip Code Area,85031,Zip Matches ZCTA
85032,Phoenix,AZ,Zip Code Area,85032,Zip Matches ZCTA
85033,Phoenix,AZ,Zip Code Area,85033,Zip Matches ZCTA
85034,Phoenix,AZ,Zip Code Area,85034,Zip Matches ZCTA
85035,Phoenix,AZ,Zip Code Area,85035,Zip Matches ZCTA
85036,Phoenix,AZ,Post Office or large volume customer,85034,Spatial join to ZCTA
85037,Phoenix,AZ,Zip Code Area,85037,Zip Matches ZCTA
85038,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85039,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85040,Phoenix,AZ,Zip Code Area,85040,Zip Matches ZCTA
85041,Phoenix,AZ,Zip Code Area,85041,Zip Matches ZCTA
85042,Phoenix,AZ,Zip Code Area,85042,Zip Matches ZCTA
85043,Phoenix,AZ,Zip Code Area,85043,Zip Matches ZCTA
85044,Phoenix,AZ,Zip Code Area,85044,Zip Matches ZCTA
85045,Phoenix,AZ,Zip Code Area,85045,Zip Matches ZCTA
85046,Phoenix,AZ,Post Office or large volume customer,85032,Spatial join to ZCTA
85048,Phoenix,AZ,Zip Code Area,85048,Zip Matches ZCTA
85050,Phoenix,AZ,Zip Code Area,85050,Zip Matches ZCTA
85051,Phoenix,AZ,Zip Code Area,85051,Zip Matches ZCTA
85053,Phoenix,AZ,Zip Code Area,85053,Zip Matches ZCTA
85054,Phoenix,AZ,Zip Code Area,85054,Zip Matches ZCTA
85060,Phoenix,AZ,Post Office or large volume customer,85018,Spatial join to ZCTA
85061,Phoenix,AZ,Post Office or large volume customer,85017,Spatial join to ZCTA
85062,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85063,Phoenix,AZ,Post Office or large volume customer,85031,Spatial join to ZCTA
85064,Phoenix,AZ,Post Office or large volume customer,85016,Spatial join to ZCTA
85065,Phoenix,AZ,Post Office or large volume customer,85034,Spatial join to ZCTA
85066,Phoenix,AZ,Post Office or large volume customer,85042,Spatial join to ZCTA
85067,Phoenix,AZ,Post Office or large volume customer,85013,Spatial join to ZCTA
85068,Phoenix,AZ,Post Office or large volume customer,85020,Spatial join to ZCTA
85069,Phoenix,AZ,Post Office or large volume customer,85021,Spatial join to ZCTA
85070,Phoenix,AZ,Post Office or large volume customer,85048,Spatial join to ZCTA
85071,Phoenix,AZ,Post Office or large volume customer,85029,Spatial join to ZCTA
85072,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85073,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85074,Phoenix,AZ,Post Office or large volume customer,85034,Spatial join to ZCTA
85075,Phoenix,AZ,Post Office or large volume customer,85033,Spatial join to ZCTA
85076,Phoenix,AZ,Post Office or large volume customer,85044,Spatial join to ZCTA
85078,Phoenix,AZ,Post Office or large volume customer,85032,Spatial join to ZCTA
85079,Phoenix,AZ,Post Office or large volume customer,85017,Spatial join to ZCTA
85080,Phoenix,AZ,Post Office or large volume customer,85027,Spatial join to ZCTA
85082,Phoenix,AZ,Post Office or large volume customer,85008,Spatial join to ZCTA
85083,Phoenix,AZ,Zip Code Area,85083,Zip Matches ZCTA
85085,Phoenix,AZ,Zip Code Area,85085,Zip Matches ZCTA
85086,Phoenix,AZ,Zip Code Area,85086,Zip Matches ZCTA
85087,New River,AZ,Zip Code Area,85087,Zip Matches ZCTA
85117,Apache Junction,AZ,Post Office or large volume customer,85119,Spatial join to ZCTA
85118,Gold Canyon,AZ,Zip Code Area,85118,Zip Matches ZCTA
85119,Apache Junction,AZ,Zip Code Area,85119,Zip Matches ZCTA
85120,Apache Junction,AZ,Zip Code Area,85120,Zip Matches ZCTA
85121,Bapchule,AZ,Post Office or large volume customer,85121,Zip Matches ZCTA
85122,Casa Grande,AZ,Zip Code Area,85122,Zip Matches ZCTA
85123,Arizona City,AZ,Zip Code Area,85123,Zip Matches ZCTA
85127,Chandler Heights,AZ,Post Office or large volume customer,85142,Spatial join to ZCTA
85128,Coolidge,AZ,Zip Code Area,85128,Zip Matches ZCTA
85130,Casa Grande,AZ,Post Office or large volume customer,85122,Spatial join to ZCTA
85131,Eloy,AZ,Zip Code Area,85131,Zip Matches ZCTA
85132,Florence,AZ,Zip Code Area,85132,Zip Matches ZCTA
85135,Hayden,AZ,Post Office or large volume customer,85135,Zip Matches ZCTA
85137,Kearny,AZ,Zip Code Area,85137,Zip Matches ZCTA
85138,Maricopa,AZ,Zip Code Area,85138,Zip Matches ZCTA
85139,Maricopa,AZ,Zip Code Area,85139,Zip Matches ZCTA
85140,San Tan Valley,AZ,Zip Code Area,85140,Zip Matches ZCTA
85141,Picacho,AZ,Post Office or large volume customer,85141,Zip Matches ZCTA
85142,Queen Creek,AZ,Zip Code Area,85142,Zip Matches ZCTA
85143,San Tan Valley,AZ,Zip Code Area,85143,Zip Matches ZCTA
85145,Red Rock,AZ,Zip Code Area,85145,Zip Matches ZCTA
85147,Sacaton,AZ,Post Office or large volume customer,85147,Zip Matches ZCTA
85172,Stanfield,AZ,Zip Code Area,85172,Zip Matches ZCTA
85173,Superior,AZ,Zip Code Area,85173,Zip Matches ZCTA
85178,Apache Junction,AZ,Post Office or large volume customer,85119,Spatial join to ZCTA
85190,Tortilla Flat,AZ,Post Office or large volume customer,85119,Spatial join to ZCTA
85191,Valley Farms,AZ,Post Office or large volume customer,85128,Spatial join to ZCTA
85192,Winkelman,AZ,Zip Code Area,85192,Zip Matches ZCTA
85193,Casa Grande,AZ,Zip Code Area,85193,Zip Matches ZCTA
85194,Casa Grande,AZ,Zip Code Area,85194,Zip Matches ZCTA
85201,Mesa,AZ,Zip Code Area,85201,Zip Matches ZCTA
85202,Mesa,AZ,Zip Code Area,85202,Zip Matches ZCTA
85203,Mesa,AZ,Zip Code Area,85203,Zip Matches ZCTA
85204,Mesa,AZ,Zip Code Area,85204,Zip Matches ZCTA
85205,Mesa,AZ,Zip Code Area,85205,Zip Matches ZCTA
85206,Mesa,AZ,Zip Code Area,85206,Zip Matches ZCTA
85207,Mesa,AZ,Zip Code Area,85207,Zip Matches ZCTA
85208,Mesa,AZ,Zip Code Area,85208,Zip Matches ZCTA
85209,Mesa,AZ,Zip Code Area,85209,Zip Matches ZCTA
85210,Mesa,AZ,Zip Code Area,85210,Zip Matches ZCTA
85211,Mesa,AZ,Post Office or large volume customer,85201,Spatial join to ZCTA
85212,Mesa,AZ,Zip Code Area,85212,Zip Matches ZCTA
85213,Mesa,AZ,Zip Code Area,85213,Zip Matches ZCTA
85214,Mesa,AZ,Post Office or large volume customer,85213,Spatial join to ZCTA
85215,Mesa,AZ,Zip Code Area,85215,Zip Matches ZCTA
85216,Mesa,AZ,Post Office or large volume customer,85208,Spatial join to ZCTA
85224,Chandler,AZ,Zip Code Area,85224,Zip Matches ZCTA
85225,Chandler,AZ,Zip Code Area,85225,Zip Matches ZCTA
85226,Chandler,AZ,Zip Code Area,85226,Zip Matches ZCTA
85233,Gilbert,AZ,Zip Code Area,85233,Zip Matches ZCTA
85234,Gilbert,AZ,Zip Code Area,85234,Zip Matches ZCTA
85236,Higley,AZ,Post Office or large volume customer,85296,Spatial join to ZCTA
85244,Chandler,AZ,Post Office or large volume customer,85225,Spatial join to ZCTA
85246,Chandler,AZ,Post Office or large volume customer,85224,Spatial join to ZCTA
85248,Chandler,AZ,Zip Code Area,85248,Zip Matches ZCTA
85249,Chandler,AZ,Zip Code Area,85249,Zip Matches ZCTA
85250,Scottsdale,AZ,Zip Code Area,85250,Zip Matches ZCTA
85251,Scottsdale,AZ,Zip Code Area,85251,Zip Matches ZCTA
85252,Scottsdale,AZ,Post Office or large volume customer,85257,Spatial join to ZCTA
85253,Paradise Valley,AZ,Zip Code Area,85253,Zip Matches ZCTA
85254,Scottsdale,AZ,Zip Code Area,85254,Zip Matches ZCTA
85255,Scottsdale,AZ,Zip Code Area,85255,Zip Matches ZCTA
85256,Scottsdale,AZ,Zip Code Area,85256,Zip Matches ZCTA
85257,Scottsdale,AZ,Zip Code Area,85257,Zip Matches ZCTA
85258,Scottsdale,AZ,Zip Code Area,85258,Zip Matches ZCTA
85259,Scottsdale,AZ,Zip Code Area,85259,Zip Matches ZCTA
85260,Scottsdale,AZ,Zip Code Area,85260,Zip Matches ZCTA
85261,Scottsdale,AZ,Post Office or large volume customer,85258,Spatial join to ZCTA
85262,Scottsdale,AZ,Zip Code Area,85262,Zip Matches ZCTA
85263,Rio Verde,AZ,Zip Code Area,85263,Zip Matches ZCTA
85264,Fort McDowell,AZ,Zip Code Area,85264,Zip Matches ZCTA
85266,Scottsdale,AZ,Zip Code Area,85266,Zip Matches ZCTA
85267,Scottsdale,AZ,Post Office or large volume customer,85260,Spatial join to ZCTA
85268,Fountain Hills,AZ,Zip Code Area,85268,Zip Matches ZCTA
85269,Fountain Hills,AZ,Post Office or large volume customer,85268,Spatial join to ZCTA
85271,Scottsdale,AZ,Post Office or large volume customer,85257,Spatial join to ZCTA
85274,Mesa,AZ,Post Office or large volume customer,85202,Spatial join to ZCTA
85275,Mesa,AZ,Post Office or large volume customer,85213,Spatial join to ZCTA
85277,Mesa,AZ,Post Office or large volume customer,85215,Spatial join to ZCTA
